count,from,to,timeframe,start,end
248,gervasi97908962,camtururuguay,109,2020-06-17 10:38:56,2020-06-17 11:25:21
249,gabyftheo,youtube,110,2020-06-17 10:39:16,2020-06-17 11:25:21
250,gabyftheo,est_pedeciba,110,2020-06-17 10:39:16,2020-06-17 11:25:21
251,faouruguay,defcea,111,2020-06-17 10:39:19,2020-06-17 11:25:21
252,faouruguay,faouruguay,111,2020-06-17 10:39:19,2020-06-17 11:25:21
253,faouruguay,opsomsuruguay,111,2020-06-17 10:39:19,2020-06-17 11:25:21
254,faouruguay,mef_uruguay,111,2020-06-17 10:39:19,2020-06-17 11:25:21
255,faouruguay,unicefuruguay,111,2020-06-17 10:39:19,2020-06-17 11:25:21
256,faouruguay,onu_es,111,2020-06-17 10:39:19,2020-06-17 11:25:21
257,faouruguay,mrree_uruguay,111,2020-06-17 10:39:19,2020-06-17 11:25:21
258,bugabea,portalmvd,112,2020-06-17 10:39:27,2020-06-17 11:25:21
259,robertojhb,observadoruy,113,2020-06-17 10:39:39,2020-06-17 11:25:21
260,presentes_docu,vtvcanal8,114,2020-06-17 10:39:54,2020-06-17 11:25:21
261,presentes_docu,juventudpsuv,114,2020-06-17 10:39:54,2020-06-17 11:25:21
262,presentes_docu,redeuropave,114,2020-06-17 10:39:54,2020-06-17 11:25:21
263,presentes_docu,telesurtv,114,2020-06-17 10:39:54,2020-06-17 11:25:21
264,presentes_docu,presentes_docu,114,2020-06-17 10:39:54,2020-06-17 11:25:21
265,hopemikaelson0l,inmaarv,115,2020-06-17 10:39:59,2020-06-17 11:25:21
266,syleona,portalmvd,116,2020-06-17 10:40:12,2020-06-17 11:25:21
267,uruguay_jade,pabloalboran,116,2020-06-17 10:40:12,2020-06-17 11:25:21
268,leofresco2,juanpedro1950,117,2020-06-17 10:40:15,2020-06-17 11:25:21
269,leofresco2,javi75k,117,2020-06-17 10:40:15,2020-06-17 11:25:21
270,alexariaspe,noticiascaracol,118,2020-06-17 10:40:36,2020-06-17 11:25:21
271,enchantedfrst,saimtkngl,119,2020-06-17 10:41:03,2020-06-17 11:25:21
272,enchantedfrst,t24comtr,119,2020-06-17 10:41:03,2020-06-17 11:25:21
273,enchantedfrst,t24comtr,120,2020-06-17 10:41:05,2020-06-17 11:25:21
274,pjmosquera,lulo15934428,121,2020-06-17 10:41:08,2020-06-17 11:25:21
275,pjmosquera,darcyquinnr,121,2020-06-17 10:41:08,2020-06-17 11:25:21
276,uruguay_jade,pabloalboran,122,2020-06-17 10:41:33,2020-06-17 11:25:21
277,enchantedfrst,murat92884673,123,2020-06-17 10:41:38,2020-06-17 11:25:21
278,enchantedfrst,kayabasisevgi,123,2020-06-17 10:41:38,2020-06-17 11:25:21
279,enchantedfrst,t24comtr,123,2020-06-17 10:41:38,2020-06-17 11:25:21
280,enchantedfrst,turanbasarir_,123,2020-06-17 10:41:38,2020-06-17 11:25:21
281,enchantedfrst,cbyildiz,123,2020-06-17 10:41:38,2020-06-17 11:25:21
282,enchantedfrst,emreyalman_,123,2020-06-17 10:41:38,2020-06-17 11:25:21
283,enchantedfrst,saimtkngl,123,2020-06-17 10:41:38,2020-06-17 11:25:21
284,enchantedfrst,yozlems,123,2020-06-17 10:41:38,2020-06-17 11:25:21
285,nordbergvalerie,fordnation,124,2020-06-17 10:41:42,2020-06-17 11:25:21
286,taironvillamat1,noticiascaracol,125,2020-06-17 10:41:48,2020-06-17 11:25:21
287,macarefe,regrann,126,2020-06-17 10:41:50,2020-06-17 11:25:21
288,macarefe,pabloalboran,126,2020-06-17 10:41:50,2020-06-17 11:25:21
289,macarefe,uruguay_jade,126,2020-06-17 10:41:50,2020-06-17 11:25:21
290,mhussein_fcb,hiiroubrain,127,2020-06-17 10:42:20,2020-06-17 11:25:21
291,mhussein_fcb,invertedfwd,127,2020-06-17 10:42:20,2020-06-17 11:25:21
292,javi75k,juanpedro1950,128,2020-06-17 10:42:43,2020-06-17 11:25:21
293,javi75k,leofresco2,128,2020-06-17 10:42:43,2020-06-17 11:25:21
